text,label
"Sau mỗi ngày học, em thấy hơi mệt mỏi và muốn nghỉ ngơi. Cảm giác như cần một chút thời gian cho bản thân,",1
"Em bắt đầu cảm thấy mất kiên nhẫn với mọi thứ, từ việc học tới việc giao tiếp với bạn bè. Cảm giác như mình đang chạy trên một con đường không có điểm dừng,",2
"Mỗi ngày đều cảm thấy kiệt sức và mất hứng thú với mọi thứ. Em không còn muốn tiếp tục và thấy mọi thứ đều trở nên vô nghĩa. Em cảm thấy mình không thể tiếp tục nữa,",3
"Dạo này, sau giờ học xong, em thường cảm thấy hơi buồn. Không biết tại sao nữa, có lẽ vì bài tập nhiều.",1
"Em cảm giác mình thất thường. Mỗi ngày tỉnh dậy, em chỉ muốn ở trong phòng, không muốn gặp ai cả. Nhưng sau một lúc, em lại cảm thấy ổn.",2
"Mỗi buổi sáng, em không muốn ra khỏi giường nữa. Cảm giác như mất hết mọi động lực, không còn muốn làm bất cứ điều gì.",3
"Thỉnh thoảng, em cảm thấy lo lắng khi phải thuyết trình trước lớp. Nhưng sau khi kết thúc, em lại ổn.",1
"Cuối tuần này, em phải thi và em không ngừng lo sợ. Mỗi lần nghĩ về bài thi, tim em đập nhanh và khó thở. Em lo sẽ không làm tốt.",2
"Gần đây, em thường cảm thấy nồng nặc một cảm giác lo âu. Dù không có lí do cụ thể, em vẫn cảm thấy hoảng loạn và khó kiểm soát.",3
"Với việc học online, em cảm thấy hơi mệt mỏi. Đôi khi, em muốn nghỉ ngơi một chút sau giờ học.",1
"Mỗi ngày, em chật vật với đống bài tập và dự án. Em cảm thấy kiệt sức và không có thời gian cho bản thân. Cảm giác như mình đang chìm dần.",2
"Dù chỉ mới bắt đầu ngày, nhưng em đã cảm thấy cạn kiệt. Áp lực từ công việc, học tập khiến em không thể tập trung vào bất cứ điều gì.",3
"Đôi khi, một tiết tấu nhạc hay một mùi hương nhất định sẽ khiến em nhớ lại một số sự kiện không vui. Nhưng sau một lúc, em lại quên mất.",1
"Mỗi khi trời mưa, em lại cảm thấy bất an và lo sợ. Những hình ảnh từ quá khứ luôn hiện về, khiến em mất ngủ.",2
"Không một ngày trôi qua mà em không bị ám ảnh bởi quá khứ. Những ký ức đau đớn khiến em không thể sống bình thường, mọi thứ đều trở nên mờ nhạt.",3
"Dạo này em hay cảm thấy mệt mỏi, mặc dù em vẫn ngủ đủ giấc. Có lẽ em cần một chút nghỉ ngơi,",1
"Em cảm giác như mất hết động lực. Mỗi ngày trôi qua giống nhau, không có niềm vui. Em muốn trở lại như xưa nhưng không biết cách nào,",2
"Hằng ngày em thức dậy với cảm giác trống rỗng. Cảm thấy mình không còn giá trị và suy nghĩ nhiều về việc từ bỏ mọi thứ. Em rất cần ai đó giúp đỡ,",3
"Đôi khi em cảm thấy lo lắng về những việc nhỏ. Nhưng sau đó em thường lấy lại tinh thần và tiếp tục làm việc,",1
"Mỗi khi nhắc đến việc học hay gặp bạn bè, tim em đập nhanh và cảm thấy khó thở. Em thậm chí không muốn ra khỏi nhà nữa,",2
"Em cảm thấy mình đang bị mắc kẹt trong một vòng xoáy lo âu. Mọi thứ đều làm em sợ hãi, từ việc gặp người lạ đến việc đến trường. Em không thể chịu nổi nữa,",3
"Thi thoảng em cảm thấy mệt mỏi với công việc và học tập. Nhưng sau một ngày nghỉ, em thường phục hồi nhanh chóng,",1
"Dạo này, với áp lực từ học tập và gia đình, em thấy mình không còn sức chịu đựng. Đôi khi muốn bỏ tất cả và chạy trốn,",2
"Mỗi sáng thức dậy, em đều cảm thấy kiệt sức, dù chưa làm bất cứ việc gì. Cảm giác như mình đang chìm trong biển áp lực và không biết lối thoát,",3
"Thỉnh thoảng, em nhớ về những chuyện không vui hồi nhỏ. Nhưng sau một hồi, em thường quên đi và tiếp tục cuộc sống của mình,",1
"Những ký ức từ quá khứ thường xuất hiện trong đầu em, khiến em mất tập trung vào công việc và học tập. Em cảm thấy khó khăn khi tiếp tục sống bình thường,",2
"Mỗi khi đêm về, em thường gặp ác mộng về những chuyện đã qua. Em thức dậy với cảm giác hoảng loạn và không thể ngủ lại. Em cảm thấy mình đang chìm sâu vào bóng tối của quá khứ,",3
"Dạo này, em hay cảm thấy buồn một cách không rõ ràng, nhưng vẫn có thể tiếp tục làm việc và học tập bình thường,",1
"Thực sự, mỗi ngày em thấy mình mất hứng thú với mọi thứ, đôi khi chỉ muốn ở một mình và không muốn tiếp xúc với ai cả,",2
"Em cảm thấy mình đang chìm sâu trong bóng tối. Không muốn làm bất cứ điều gì, thậm chí cả những thứ em từng yêu thích. Em cảm thấy rất tuyệt vọng và không biết bao giờ mới thoát ra,",3
"Đôi khi, trước những sự kiện quan trọng, em cảm thấy lo lắng và đôi chút căng thẳng, nhưng sau đó em lại tự an ủi mình và vượt qua,",1
"Em thường cảm thấy bồn chồn và lo lắng mỗi khi phải ra ngoài hoặc gặp gỡ mọi người. Cảm giác này khiến em mất nhiều thời gian để tập trung vào công việc và học tập,",2
"Cảm giác lo âu của em đang trở nên quá mạnh mẽ. Em thậm chí không thể rời khỏi nhà hoặc gặp ai mà không cảm thấy nghẹt thở và hoảng sợ,",3
"Đôi khi, trước những sự kiện quan trọng, em cảm thấy lo lắng và đôi chút căng thẳng, nhưng sau đó em lại tự an ủi mình và vượt qua,",1
"Em thường cảm thấy bồn chồn và lo lắng mỗi khi phải ra ngoài hoặc gặp gỡ mọi người. Cảm giác này khiến em mất nhiều thời gian để tập trung vào công việc và học tập,",2
"Cảm giác lo âu của em đang trở nên quá mạnh mẽ. Em thậm chí không thể rời khỏi nhà hoặc gặp ai mà không cảm thấy nghẹt thở và hoảng sợ,",3
"Đôi khi, trước những sự kiện quan trọng, em cảm thấy lo lắng và đôi chút căng thẳng, nhưng sau đó em lại tự an ủi mình và vượt qua,",1
"Em thường cảm thấy bồn chồn và lo lắng mỗi khi phải ra ngoài hoặc gặp gỡ mọi người. Cảm giác này khiến em mất nhiều thời gian để tập trung vào công việc và học tập,",2
"Cảm giác lo âu của em đang trở nên quá mạnh mẽ. Em thậm chí không thể rời khỏi nhà hoặc gặp ai mà không cảm thấy nghẹt thở và hoảng sợ,",3
"Dạo này em hay cảm thấy mệt mỏi mà không biết lý do, nhưng chỉ đôi lúc thôi, không thường xuyên,",1
"Mỗi buổi sáng, em thấy không muốn tỉnh dậy, không muốn tiếp tục ngày mới. Em chỉ muốn ở một mình, tránh xa mọi người,",2
"Em cảm thấy tuyệt vọng, như thế giới này không còn chỗ cho em nữa. Mỗi ngày trở nên quá khó khăn để vượt qua,",3
"Thỉnh thoảng, khi em ở một mình, em cảm thấy lo lắng về mọi thứ nhưng sau đó lại ổn,",1
"Em thấy stress với mọi việc, từ việc học cho đến việc gặp gỡ bạn bè. Mỗi lần chuông điện thoại reo, lòng em đập nhanh,",2
"Lo âu đã chiếm hữu cuộc sống của em. Em sợ ra khỏi nhà, sợ tiếp xúc với người khác, thậm chí là người thân trong gia đình,",3
"Gần đây, em cảm thấy hơi mệt mỏi với việc học và các hoạt động khác, nhưng em vẫn có thể xử lý được,",1
"Em luôn cảm thấy mình đang chạy đua với thời gian, không có lúc nào thảnh thơi. Đôi khi, trở về nhà mệt lả và không muốn làm bất cứ điều gì,",2
"Cảm giác như em đang bị nén dưới một tải trọng nặng nề. Em không thể cầm cự trước áp lực, và mỗi ngày dường như là một trận chiến để tiếp tục sống,",3
"Thỉnh thoảng, em nhớ về một số sự kiện không vui trong quá khứ, nhưng nó không làm phiền em quá nhiều,",1
"Em thường mơ lại những chuyện buồn từ quá khứ và thấy khó chịu khi nhớ về chúng. Nó ảnh hưởng đến giấc ngủ của em",2
"Những ký ức tổn thương trong quá khứ không ngừng ám ảnh em mỗi ngày, làm cho em mất ngủ và cảm thấy hoàn toàn mất phương hướng,",3
"Dạo này, em thấy không còn hứng thú lắm với bóng đá, một thứ em từng rất thích,",1
"Cả tuần nay, em chỉ muốn ở trong phòng, không muốn gặp ai cả. Mỗi lần đi học, em đều cảm thấy mệt mỏi và không muốn làm gì,",2
"Em không còn muốn tiếp tục nữa. Mọi thứ đều trở nên vô nghĩa, và em cảm thấy mình chìm sâu trong bóng tối không lối thoát,",3
"Khi phải thuyết trình trước lớp, em cảm thấy hồi hộp và lo lắng một chút,",1
"Mỗi khi đi ra ngoài, em luôn cảm thấy như mọi người đang nhìn và nói về mình. Tim em đập nhanh và khó thở mỗi lần phải giao tiếp,",2
"Em không thể rời khỏi nhà nữa, chỉ cần bước ra khỏi cửa, trái tim em đập liên hồi và cảm giác như sắp sụp đổ,",3
"Khi phải thuyết trình trước lớp, em cảm thấy hồi hộp và lo lắng một chút,",1
"Mỗi khi đi ra ngoài, em luôn cảm thấy như mọi người đang nhìn và nói về mình. Tim em đập nhanh và khó thở mỗi lần phải giao tiếp,",2
"Em không thể rời khỏi nhà nữa, chỉ cần bước ra khỏi cửa, trái tim em đập liên hồi và cảm giác như sắp sụp đổ,",3
"Mỗi khi thấy hình ảnh giống như sự kiện trong quá khứ, em thấy hơi bất an,",1
"Cứ mỗi đêm, em lại mơ về những chuyện đã qua. Thậm chí, khi nghe một tiếng động lạ, em lại cảm thấy sợ hãi và lo lắng,",2
"Em không thể sống một ngày bình thường nữa. Những ký ức kinh hoàng luôn ám ảnh, và em thường tỉnh giấc giữa đêm vì những cơn ác mộng,",3
"Mỗi khi thấy hình ảnh giống như sự kiện trong quá khứ, em thấy hơi bất an,",1
"Cứ mỗi đêm, em lại mơ về những chuyện đã qua. Thậm chí, khi nghe một tiếng động lạ, em lại cảm thấy sợ hãi và lo lắng,",2
"Em không thể sống một ngày bình thường nữa. Những ký ức kinh hoàng luôn ám ảnh, và em thường tỉnh giấc giữa đêm vì những cơn ác mộng,",3
"Mỗi khi thấy hình ảnh giống như sự kiện trong quá khứ, em thấy hơi bất an,",1
"Cứ mỗi đêm, em lại mơ về những chuyện đã qua. Thậm chí, khi nghe một tiếng động lạ, em lại cảm thấy sợ hãi và lo lắng,",2
"Em không thể sống một ngày bình thường nữa. Những ký ức kinh hoàng luôn ám ảnh, và em thường tỉnh giấc giữa đêm vì những cơn ác mộng,",3
"Mỗi khi thấy hình ảnh giống như sự kiện trong quá khứ, em thấy hơi bất an,",1
"Cứ mỗi đêm, em lại mơ về những chuyện đã qua. Thậm chí, khi nghe một tiếng động lạ, em lại cảm thấy sợ hãi và lo lắng,",2
"Em không thể sống một ngày bình thường nữa. Những ký ức kinh hoàng luôn ám ảnh, và em thường tỉnh giấc giữa đêm vì những cơn ác mộng,",3
"Có những lúc, em vẫn nhớ về những chuyện không vui đã qua, nhưng sau một lúc thì em lại tập trung vào công việc.",1
"Khi nhớ lại những sự kiện xưa, tim em đau và đôi khi mất ngủ. Em cảm thấy mình bị mắc kẹt trong quá khứ.",2
"Quá khứ ám ảnh em mỗi ngày. Em không thể tập trung vào việc gì, và những hình ảnh đau lòng cứ quay về, khiến em không thể sống bình thường.",3
"Dạo này, em cảm thấy hơi buồn và mất hứng thú một chút với mọi thứ. Em nghĩ có lẽ chỉ cần nghỉ ngơi một vài ngày,",1
"Em thấy mình càng ngày càng mất hứng thú với mọi thứ. Thậm chí những thứ em thích trước giờ giờ đây trở nên vô nghĩa. Cảm giác như mình đang lạc lõng,",2
"Mỗi ngày đối với em như một gánh nặng. Em không muốn làm bất cứ điều gì, thậm chí không muốn nói chuyện với ai. Em cảm thấy mình đang chìm sâu vào bóng tối và không biết làm sao để thoát ra,",3
"Dạo này, em cảm thấy hơi buồn và mất hứng thú một chút với mọi thứ. Em nghĩ có lẽ chỉ cần nghỉ ngơi một vài ngày,",1
"Em thấy mình càng ngày càng mất hứng thú với mọi thứ. Thậm chí những thứ em thích trước giờ giờ đây trở nên vô nghĩa. Cảm giác như mình đang lạc lõng,",2
"Mỗi ngày đối với em như một gánh nặng. Em không muốn làm bất cứ điều gì, thậm chí không muốn nói chuyện với ai. Em cảm thấy mình đang chìm sâu vào bóng tối và không biết làm sao để thoát ra,",3
"Với công việc hiện tại, em cảm thấy hơi mệt mỏi. Em nghĩ mình cần thêm thời gian nghỉ ngơi,",1
"Cảm giác như em không thể theo kịp với mọi thứ nữa. Ngày nào em cũng thấy mệt mỏi và khó tập trung vào công việc. Em cần một giải pháp,",2
"Em cảm thấy kiệt sức hoàn toàn. Mỗi sáng thức dậy, em đều không muốn làm bất cứ điều gì. Cảm giác như em đã mất hết năng lượng và không còn động lực làm việc nữa,",3
"Với công việc hiện tại, em cảm thấy hơi mệt mỏi. Em nghĩ mình cần thêm thời gian nghỉ ngơi,",1
"Cảm giác như em không thể theo kịp với mọi thứ nữa. Ngày nào em cũng thấy mệt mỏi và khó tập trung vào công việc. Em cần một giải pháp,",2
"Em cảm thấy kiệt sức hoàn toàn. Mỗi sáng thức dậy, em đều không muốn làm bất cứ điều gì. Cảm giác như em đã mất hết năng lượng và không còn động lực làm việc nữa,",3
"Em đôi khi cảm thấy lo lắng về tương lai, nhưng sau khi nói chuyện với bạn bè thì cảm thấy ổn hơn,",1
"Mỗi khi phải đứng trước đám đông hoặc tham gia một sự kiện, lòng em đập nhanh và cảm thấy khó thở. Lo sợ mọi người sẽ nghĩ gì về mình,",2
"Em cảm thấy mình đang bị mắc kẹt trong một chuỗi suy nghĩ và lo lắng không dứt. Thậm chí việc ra khỏi nhà cũng khiến em cảm thấy hoảng sợ,",3
"Em đôi khi cảm thấy lo lắng về tương lai, nhưng sau khi nói chuyện với bạn bè thì cảm thấy ổn hơn,",1
"Mỗi khi phải đứng trước đám đông hoặc tham gia một sự kiện, lòng em đập nhanh và cảm thấy khó thở. Lo sợ mọi người sẽ nghĩ gì về mình,",2
"Em cảm thấy mình đang bị mắc kẹt trong một chuỗi suy nghĩ và lo lắng không dứt. Thậm chí việc ra khỏi nhà cũng khiến em cảm thấy hoảng sợ,",3
"Thỉnh thoảng, em nhớ về một sự kiện không vui trong quá khứ nhưng sau khi xem TV hay chơi game thì lại quên mất,",1
"Thỉnh thoảng, em nhớ về một sự kiện không vui trong quá khứ nhưng sau khi xem TV hay chơi game thì lại quên mất,",1
"Em hơi lo lắng về bài kiểm tra tuần sau. Cảm thấy áp lực một chút nhưng vẫn cố gắng,",1
"Mỗi lần đi ra ngoài hoặc gặp người mới, em đều cảm thấy tim đập nhanh và khó thở. Lo sợ mọi người sẽ đánh giá mình như thế nào,",2
"Lo lắng làm em không thể tập trung vào bất cứ điều gì. Em cảm thấy mình đang mất kiểm soát cuộc sống và sợ hãi mọi lúc,",3
"Dạo này học hành và công việc nhiều hơn một chút. Đôi khi cảm thấy mệt mỏi nhưng vẫn cố gắng hoàn thành,",1
"Mỗi ngày em cảm thấy mình như đang chạy một cuộc đua không hồi kết. Cảm giác kiệt sức và khó khăn để tập trung vào bất kỳ điều gì,",2
"Em cảm thấy mình hoàn toàn kiệt quệ. Mỗi ngày là một gánh nặng và em không biết mình có thể tiếp tục được bao lâu nữa không,",3
"Thỉnh thoảng, em vẫn nghĩ về những sự kiện không vui trong quá khứ. Nó làm em cảm thấy không thoải mái một chút,",1
"Mỗi lần gặp phải tình huống tương tự với quá khứ, lòng em lại đau đớn. Cảm giác như không thể thoát khỏi những ký ức đó,",2
"Em thường mơ ác mộng về quá khứ và không thể ngủ yên bình. Cảm giác như mình đang mắc kẹt trong những ký ức đau lòng và không thể thoát ra,",3
"Dạo này, sau giờ học em thường cảm thấy mệt mỏi và không muốn làm gì cả. Có lúc em cảm thấy buồn nhưng không biết lý do.",1
"Mỗi lần nghĩ về việc học và bài tập, lòng em lại tràn đầy lo lắng. Đôi khi, em thấy tim đập nhanh và khó thở mỗi khi phải nói chuyện với giáo viên hoặc bạn bè.",2
"Hằng ngày, em đều tỉnh dậy với cảm giác không muốn sống nữa. Em cảm thấy mình mất hết hy vọng và không còn muốn tiếp tục.",3
"Thỉnh thoảng, em cảm thấy mình hơi căng thẳng. Đặc biệt là khi phải chuẩn bị cho một bài kiểm tra hoặc khi phải nói trước lớp.",1
"Gần đây, em cảm thấy mình không thể tập trung vào việc gì cả. Em lo lắng về mọi thứ, từ việc học đến chuyện gia đình. Đêm nào em cũng thức trắng và cảm thấy mệt mỏi.",2
"Cảm giác như trái tim muốn nổ tung ra khỏi ngực. Em luôn cảm thấy lo sợ, thậm chí là trong những tình huống bình thường nhất. Em không thể thở, và cảm giác như mình đang chết dần đi.",3
"Dạo này, em thấy mình hơi mệt khi phải học online suốt ngày. Cảm giác như không còn động lực như trước nữa.",1
"Với việc học và bài tập chồng chất, em thấy mình không thể theo kịp nữa. Mỗi ngày trôi qua, em chỉ muốn nghỉ ngơi và không muốn đụng đến máy tính nữa.",2
Em cảm thấy mình đang bị chìm sâu trong một biển công việc và trách nhiệm. Cảm giác như không thể thoát ra. Em mệt mỏi đến mức không thể đứng vững nổi nữa.,3
"Đôi khi, khi nhớ lại những chuyện xưa, lòng em hơi buồn một chút. Nhưng rồi em cũng quên nhanh.",1
"Mỗi khi em nghe tiếng động lớn hoặc xem những hình ảnh liên quan đến quá khứ, em thấy lòng mình đau đớn và khó chịu. Em cố tránh né những tình huống và nơi chứa đựng ký ức đó.",2
"Quá khứ ám ảnh em mỗi ngày, mỗi giờ. Em không thể ngừng nghĩ về nó. Những hình ảnh và âm thanh liên tục xuất hiện trong đầu, khiến em cảm thấy không thể sống tiếp.",3
"Dạo này, em thấy buồn một cách lạ lùng. Có những lúc em chỉ muốn ở một mình, không muốn nói chuyện nhiều. Nhưng mỗi lần vậy thì chỉ kéo dài một thời gian ngắn thôi,",1
"Em bắt đầu cảm thấy khó chịu khi phải gặp đám đông. Thỉnh thoảng, khi ở trường, em thấy tim đập nhanh và muốn trốn chạy, nhưng vẫn có thể tự kiểm soát được mình,",1
"Học online với đống bài tập và deadlines, em thấy mệt mỏi và căng thẳng. Nhưng sau khi nghỉ ngơi một chút, em thấy ổn hơn,",1
"Một sự kiện không vui đã xảy ra với em cách đây vài tháng. Đôi khi, em mơ về nó và tỉnh giấc với cảm giác lo sợ. Nhưng em vẫn cố gắng không để nó ảnh hưởng đến cuộc sống hàng ngày của mình,",1
"Mỗi ngày, em thấy mình chìm sâu vào nỗi buồn. Em không muốn tham gia bất kỳ hoạt động gì và thường xuyên mất ngủ vào ban đêm. Em cảm thấy mất mọi động lực,",2
"Cảm giác lo lắng bắt đầu chi phối cuộc sống của em. Mỗi khi chuẩn bị đi ra ngoài hay gặp bạn bè, em thấy nỗi sợ và hoảng loạn. Đôi lúc, em phải hủy bỏ kế hoạch chỉ vì cảm giác này,",2
"Em đang cảm thấy rất kiệt sức. Mọi công việc, dù nhỏ nhất, đều khiến em cảm thấy nặng nề và áp đặt lên mình một áp lực không lối thoát,",2
"Hình ảnh về sự kiện đau lòng trong quá khứ luôn xuất hiện trong đầu em. Em không thể làm bất cứ điều gì mà không bị ảnh hưởng bởi nó. Em thậm chí cảm thấy khó khăn khi tiếp tục cuộc sống bình thường,",2
"Em cảm thấy mình đang rơi vào một vực thẳm sâu. Em không còn muốn tiếp tục cuộc sống này nữa. Em đã từng nghĩ đến việc tự tử và cảm thấy không còn hy vọng cho tương lai,",3
"Lo lắng đã trở thành một phần không thể tách rời khỏi em. Em không thể ngủ, ăn hay làm bất kỳ điều gì mà không cảm thấy hoảng loạn. Em thậm chí không thể rời khỏi nhà mà không có cảm giác sợ hãi mãnh liệt,",3
"Mọi thứ đang quá sức chịu đựng. Em cảm thấy mình đã kiệt sức hoàn toàn, không còn năng lượng hay hy vọng cho bất kỳ điều gì. Em chỉ muốn mọi thứ kết thúc,",3
"Quá khứ kinh hoàng đó không ngừng ám ảnh em. Em cảm thấy mình bị mắc kẹt và không thể thoát ra. Mỗi lần nhắc đến, em lại cảm thấy sợ hãi và muốn chạy trốn khỏi mọi thứ,",3
"Dạo này, em hơi buồn. Chẳng biết tại sao, chỉ cảm thấy không vui khi ở trường,",1
"Em thấy mệt mỏi, mỗi ngày tỉnh dậy cảm giác như không có gì vui vẻ. Nhưng em vẫn cố gắng tham gia các hoạt động và nói chuyện với bạn bè,",2
"Em không muốn làm bất cứ điều gì cả. Thậm chí là những thứ em thích trước giờ. Em thường xuyên cảm thấy không muốn tỉnh dậy từ giấc ngủ, và suy nghĩ về cuộc sống này rất tiêu cực,",3
"Đôi khi, trước những tình huống mới, em cảm thấy hơi lo lắng. Nhưng sau một lúc, em lại tự an ủi mình và vượt qua,",1
"Mỗi lần phải đối diện với áp lực, lòng em đập nhanh và cảm thấy khó thở. Những suy nghĩ lo âu luôn ám ảnh em, làm em mất ngủ hằng đêm,",2
"Sợ hãi và lo âu chiếm lĩnh mọi phút giây của em. Đôi khi, em thậm chí không dám ra khỏi nhà, vì sợ mọi thứ xung quanh. Em cảm thấy mình đang bị mắc kẹt trong một cơn ác mộng không dứt,",3
"Dạo gần đây, với lượng công việc tăng lên, em cảm thấy mình hơi mệt mỏi và căng thẳng hơn bình thường,",1
"Hằng ngày, em cảm giác mình đang chạy đua với thời gian. Công việc đống đầy, em không biết làm sao để cân bằng giữa học và nghỉ ngơi. Stress đã trở thành phần không thể tách rời hàng ngày,",2
"Em cảm thấy kiệt sức, mọi thứ đều trở nên mập mờ. Mỗi ngày đối mặt với áp lực khiến em muốn bỏ cuộc. Em thấy mình không còn sức sống,",3
"Thỉnh thoảng, khi em nhớ về một sự kiện buồn từ trước, em cảm thấy hơi buồn. Nhưng sau đó em lại cố gắng tập trung vào việc khác,",1
"Một số sự kiện trong quá khứ thường xuyên quay lại trong đầu em. Đôi khi, em mất ngủ và cảm giác không thoải mái khi nghĩ đến chúng,",2
"Em không thể ngừng nghĩ về những chuyện khủng khiếp đã xảy ra. Mỗi lần nhớ lại, lòng em như bị xé toạc, và em cảm giác như không thể tiếp tục sống được nữa,",3
"Dạo này, em thấy hơi buồn. Không biết tại sao, chỉ là có những lúc không muốn nói chuyện thôi.",1
"Mỗi ngày đến trường, lòng em cảm thấy nặng trĩu. Em thấy mình cô đơn, dù xung quanh có bạn bè. Em buồn suốt nhiều tuần nay.",2
"Em không muốn làm bất cứ điều gì cả. Cảm giác mất mọi động lực, không muốn ăn, không muốn thức dậy. Mọi thứ dường như đều mất ý nghĩa.",3
"Thỉnh thoảng, em cảm thấy lo lắng về bài kiểm tra sắp tới. Nhưng sau khi học, em lại yên lòng hơn.",1
"Gần đây, em thấy mình luôn căng thẳng. Lo sợ về mọi thứ, từ việc học tới chuyện bạn bè. Trái tim thường đập nhanh mỗi khi phải đối diện với một tình huống khó khăn.",2
"Lo lắng đã chiếm lấy cuộc sống của em. Em thấy khó thở, tim đập liên tục và luôn sợ hãi. Mỗi ngày đều như một cơn ác mộng.",3
